id,name,creationDate,price,manufactureCost,unitOfMeasure,owner,x,y
30,Product_76,2026-02-18,772.6808064170285,225,KILOGRAMS,Person_1,167,3.626204
383,Product_14,2026-02-18,57.596135964177854,161,KILOGRAMS,Person_3,-110,-56.246305
834,Product_8,2026-02-18,373.63487093344855,494,METERS,Person_4,-12,38.160795
940,Product_66,2026-02-18,506.0405297576116,130,KILOGRAMS,Person_5,126,49.806419
388,Product_32,2026-02-18,399.72835151483457,335,METERS,Person_2,-176,-86.213712
811,Product_74,2026-02-18,761.907701337708,274,KILOGRAMS,Person_6,94,40.007542
260,Product_59,2026-02-18,337.0623649191346,231,KILOGRAMS,Person_6,124,66.590448
187,Product_49,2026-02-18,265.9599094489111,241,METERS,Person_8,-120,16.915115
40,Product_92,2026-02-18,608.9692302310767,438,KILOGRAMS,Person_10,79,-88.384915
358,Product_71,2026-02-18,7.317460760661228,156,METERS,Person_7,-76,-74.405211
