id,name,coordinates,creationDate,price,manufactureCost,unitOfMeasure,owner
30,Product_76,"(167.898116, 3.626204)",2026-02-18,772.6808064170285,225,kg,Person_1
383,Product_14,"(-110.506094, -56.246305)",2026-02-18,57.596135964177854,161,cm,Person_3
834,Product_8,"(-12.354424, 38.160795)",2026-02-18,373.63487093344855,494,m,Person_4
940,Product_66,"(126.482562, 49.806419)",2026-02-18,506.0405297576116,130,kg,Person_5
388,Product_32,"(-176.979023, -86.213712)",2026-02-18,399.72835151483457,335,m,Person_2
811,Product_74,"(94.175104, 40.007542)",2026-02-18,761.907701337708,274,cm,Person_6
260,Product_59,"(124.955255, 66.590448)",2026-02-18,337.0623649191346,231,kg,Person_6
187,Product_49,"(-120.046712, 16.915115)",2026-02-18,265.9599094489111,241,m,Person_8
40,Product_92,"(79.191089, -88.384915)",2026-02-18,608.9692302310767,438,g,Person_10
358,Product_71,"(-76.625028, -74.405211)",2026-02-18,7.317460760661228,156,m,Person_7
